Jugador;Minutos;Puntos;Triples;Rebotes;Asistencias;Perdidas;Robos;Tapones
Chimezie Metu;689;321;9;198;40;32;22;21
Montrezl Harrell;681.1;320;0;159;33;35;17;25
Derrick Jones Jr.;893.4;319;27;153;34;25;29;37
Joe Ingles;1043.5;317;83;128;150;55;33;6
T.J. Warren;686.7;314;22;121;40;20;22;12
Ty Jerome;815.6;309;35;78;135;30;23;5
Moses Moody;817.1;302;49;105;51;34;18;7
R.J. Hampton;749.6;302;41;87;54;42;27;9
Romeo Langford;844.3;297;16;114;50;30;24;13
Vlatko Cancar;889;297;43;128;80;37;22;14
Theo Maledon;853.7;295;28;123;152;59;37;12
Matisse Thybulle;1200.4;293;54;140;53;24;83;32
Rudy Gay;815.6;293;33;163;57;37;19;18
Jeremiah Robinson-Earl;813.7;292;37;180;43;19;24;11
Ben Simmons;1105;291;0;263;256;97;54;24
Kris Dunn;567.5;290;17;100;124;35;25;10
Jaylin Williams;914.2;288;46;241;76;37;28;12
Robert Covington;778.6;288;54;166;57;32;38;33
Paul Reed;755.2;287;1;262;27;45;45;51
Jae'Sean Tate;677.5;283;13;118;84;47;21;7
Robert Williams III;823.5;279;0;292;50;34;22;48
Eugene Omoruyi;645.3;278;25;111;28;34;28;3
Zeke Nnaji;727.8;277;17;138;18;31;17;23
Aleksej Pokusevski;701.3;276;38;159;64;43;20;43
Payton Pritchard;642.8;270;56;88;64;40;14;1
Danuel House Jr.;807;268;37;94;44;26;14;9
Duncan Robinson;690.5;268;63;69;46;28;14;0
MarJon Beauchamp;701.4;266;47;115;35;45;21;7
P.J. Tucker;1920.1;266;55;295;60;44;39;15
Bismack Biyombo;874.1;263;0;260;56;51;18;88
Sandro Mamukelashvili;659.7;263;30;185;62;35;14;12
JT Thor;968.8;262;39;152;36;44;22;23
Willy Hernangomez;457.7;262;3;180;33;39;17;13
Luke Kornet;804.1;261;3;197;53;25;11;46
Garrison Mathews;686.3;257;63;73;26;19;24;5
Austin Rivers;1016.3;255;43;83;75;23;28;4
Ish Wainright;915.1;251;57;139;53;22;38;22
Aaron Holiday;845.3;247;36;74;89;36;37;12
Bryce McGowens;787;246;26;93;54;43;15;6
Malachi Flynn;690.8;246;47;76;70;25;21;4
Patty Mills;566.6;246;49;44;56;30;15;3
Duane Washington Jr.;393.8;244;40;36;63;34;6;4
Thaddeus Young;795.5;240;6;166;75;42;54;5
Cade Cunningham;400.2;239;17;74;72;39;10;7
Haywood Highsmith;969.4;236;37;188;43;45;36;17
Jaxson Hayes;610.1;233;3;132;34;31;20;19
George Hill;833.3;232;34;85;110;34;26;6
Day'Ron Sharpe;552.5;227;6;200;37;42;15;32
Dyson Daniels;1042.1;227;27;188;134;57;43;11
Daishen Nix;914.4;226;40;98;132;86;31;7
